skills,marks,interests,career
Python TensorFlow Pandas Scikit-learn,91,AI,Machine Learning Engineer
HTML CSS JavaScript React Tailwind,86,Web Design,Frontend Developer
SQL Power BI Excel Tableau,82,Data Analytics,Business Intelligence Analyst
Java Spring Boot Hibernate MySQL,84,Enterprise Apps,Backend Developer
Linux Bash Networking Ethical Hacking,88,Cybersecurity,Cybersecurity Analyst
Python Flask FastAPI MongoDB,85,Web Backend,Backend Developer
Flutter Dart Firebase Android Studio,87,Mobile Apps,Mobile App Developer
C++ Python OpenCV ML,89,AI Computer Vision,AI Engineer
Node.js Express.js MongoDB REST API,83,Web Dev,Full Stack Developer
JavaScript Vue.js CSS Bootstrap,80,Frontend,UI Developer
Kotlin Android Studio Firebase,78,Mobile,Android Developer
R Python Pandas Matplotlib,90,Research & Data,Data Scientist
PHP MySQL Laravel HTML CSS,75,Web Dev,Backend Developer
React Native JavaScript Redux,81,Mobile,Mobile App Developer
Docker Kubernetes AWS CI/CD,88,DevOps,DevOps Engineer
C# .NET Core SQL Server,79,Enterprise Software,Software Engineer
Python NLTK Spacy Transformers,92,NLP,AI Researcher
HTML CSS Figma UX/UI,77,Design,UI/UX Designer
SQL MongoDB Redis Elasticsearch,84,Backend/Data,Database Engineer
Python Django PostgreSQL REST API,86,Web Development,Backend Developer
Power BI Excel SQL Data Modeling,80,Analytics,Business Analyst
Linux Network Security Firewalls,83,Security,Network Security Engineer
Java JSP Servlets JDBC,76,Apps,Java Developer
Python Pandas Jupyter Notebooks,85,Data Science,Data Analyst
C Python Assembly OS,72,Systems,System Programmer
React TypeScript Tailwind CSS,81,Web UI,Frontend Engineer
Python Keras Deep Learning PyTorch,94,AI,Deep Learning Specialist
GIT GitHub Jenkins Docker,79,DevOps,CI/CD Engineer
Swift Xcode UIkit Firebase,80,Mobile,iOS Developer
HTML CSS JavaScript Three.js,82,Web 3D,Creative Web Developer
